State,Year,Month,Average Temperature
Illinois,1820,January,-7.532
Illinois,1820,December,-4.35
Illinois,1820,February,-0.184
Illinois,1820,March,2.742
Illinois,1820,November,3.278
Illinois,1820,October,10.762
Illinois,1820,April,12.259
Illinois,1820,May,16.205
Illinois,1820,September,18.264
Illinois,1820,August,21.52
Illinois,1820,June,21.674
Illinois,1820,July,22.861
Illinois,1840,January,-5.676
Illinois,1840,December,-1.377
Illinois,1840,February,1.622
Illinois,1840,November,3.769
Illinois,1840,March,6.017
Illinois,1840,October,10.72
Illinois,1840,April,12.818
Illinois,1840,September,16.496
Illinois,1840,May,17.955
Illinois,1840,August,22.355
Illinois,1840,June,22.806
Illinois,1840,July,23.374
Illinois,1860,December,-3.627
Illinois,1860,January,-2.84
Illinois,1860,February,-0.311
Illinois,1860,November,3.27
Illinois,1860,March,6.837
Illinois,1860,April,11.405
Illinois,1860,October,12.177
Illinois,1860,September,17.492
Illinois,1860,May,18.777
Illinois,1860,June,21.711
Illinois,1860,August,22.788
Illinois,1860,July,24.233
Illinois,1880,December,-5.099
Illinois,1880,November,-1.082
Illinois,1880,February,1.58
Illinois,1880,March,4.025
Illinois,1880,January,4.706
Illinois,1880,October,10.585
Illinois,1880,April,11.455
Illinois,1880,September,17.559
Illinois,1880,May,19.84
Illinois,1880,June,22.478
Illinois,1880,August,23.839
Illinois,1880,July,23.866
Illinois,1900,February,-4.938
Illinois,1900,January,-0.687
Illinois,1900,December,-0.395
Illinois,1900,March,1.486
Illinois,1900,November,4.703
Illinois,1900,April,11.386
Illinois,1900,October,16.147
Illinois,1900,May,17.737
Illinois,1900,September,20.447
Illinois,1900,June,21.312
Illinois,1900,July,23.739
Illinois,1900,August,26.149
Illinois,1920,January,-6.077
Illinois,1920,February,-1.882
Illinois,1920,December,-0.039
Illinois,1920,November,4.149
Illinois,1920,March,5.146
Illinois,1920,April,7.734
Illinois,1920,October,15.271
Illinois,1920,May,15.769
Illinois,1920,September,20.394
Illinois,1920,June,21.759
Illinois,1920,August,21.946
Illinois,1920,July,23.078
Illinois,1940,January,-10.002
Illinois,1940,February,-1.245
Illinois,1940,December,1.486
Illinois,1940,March,2.694
Illinois,1940,November,3.97
Illinois,1940,April,9.725
Illinois,1940,October,14.846
Illinois,1940,May,15.007
Illinois,1940,September,18.771
Illinois,1940,June,22.331
Illinois,1940,August,23.438
Illinois,1940,July,24.487
Illinois,1960,March,-3.176
Illinois,1960,December,-2.88
Illinois,1960,February,-2.725
Illinois,1960,January,-1.529
Illinois,1960,November,6.261
Illinois,1960,April,12.614
Illinois,1960,October,13.03
Illinois,1960,May,15.379
Illinois,1960,June,20.963
Illinois,1960,September,21.328
Illinois,1960,July,23.071
Illinois,1960,August,23.939
Illinois,1980,February,-4.558
Illinois,1980,January,-2.591
Illinois,1980,December,-0.401
Illinois,1980,March,2.51
Illinois,1980,November,5.652
Illinois,1980,April,10.311
Illinois,1980,October,10.94
Illinois,1980,May,17.616
Illinois,1980,September,20.302
Illinois,1980,June,21.665
Illinois,1980,August,25.524
Illinois,1980,July,26.357
Illinois,2000,December,-7.593
Illinois,2000,January,-2.35
Illinois,2000,February,3.136
Illinois,2000,November,4.301
Illinois,2000,March,8.104
Illinois,2000,April,11.032
Illinois,2000,October,14.723
Illinois,2000,May,18.72
Illinois,2000,September,19.539
Illinois,2000,June,21.704
Illinois,2000,July,23.447
Illinois,2000,August,24.232
Indiana,1820,January,-6.449
Indiana,1820,February,-3.58
Indiana,1820,March,0.544
Indiana,1820,April,3.089
Indiana,1820,May,3.305
Indiana,1820,June,10.382
Indiana,1820,July,12.007
Indiana,1820,August,16.054
Indiana,1820,September,18.188
Indiana,1820,October,21.502
Indiana,1820,November,21.538
Indiana,1820,December,23.076
Indiana,1840,January,-5.136
Indiana,1840,February,-1.345
Indiana,1840,March,2.729
Indiana,1840,April,4.178
Indiana,1840,May,6.519
Indiana,1840,June,11.114
Indiana,1840,July,13.099
Indiana,1840,August,16.556
Indiana,1840,September,17.96
